merk_mobil,model_mobil,tahun_produksi,bahan_bakar,jarak_tempuh,transmisi,harga,lokasi,wilayah,kapasitas_mesin
bmw,m4,2015,Bensin,22.5,Automatic,1300000000,Kebayoran Baru, Jakarta Selatan,1.75
bmw,i7,2024,Bensin,2.5,Automatic,3089000000,Pancoran, Jakarta Selatan,2.5
chery,omoda 5,2023,Bensin,117.5,Automatic,289000000,Taman Sari, Jakarta Barat,1.75
chery,omoda 5,2023,Bensin,122.5,Automatic,290000000,Kemayoran, Jakarta Pusat,1.75
chery,omoda 5,2024,Bensin,67.5,Automatic,293000000,Gubeng, Surabaya Kota,1.25
chery,omoda 5,2023,Bensin,167.5,Automatic,299000000,Jagakarsa, Bekasi Kota,2.5
chery,omoda 5,2023,Bensin,22.5,Automatic,299000000,Cempaka Putih, Jakarta Pusat,2.5
chery,omoda 5,2023,Bensin,2.5,Automatic,345000000,Bekasi Selatan, Bekasi Kota,2.5
chery,omoda 5,2023,Bensin,2.5,Automatic,345000000,Bekasi Selatan, Bekasi Kota,2.5
chevrolet,spark,2017,Bensin,42.5,Automatic,110000000,Blimbing, Malang Kota,1.25
chevrolet,spark,2019,Bensin,52.5,Automatic,122000000,Pondok Aren, Tangerang Selatan Kota,1.25
chevrolet,trax,2017,Bensin,7.5,Automatic,145000000,Menteng, Jakarta Pusat,1.75
chevrolet,trax,2017,Bensin,7.5,Automatic,147000000,Tomang, Jakarta Barat,1.75
chevrolet,trax,2018,Bensin,82.5,Automatic,150000000,Duren Sawit, Jakarta Timur,1.25
chevrolet,trax,2018,Bensin,82.5,Automatic,150000000,Duren Sawit, Jakarta Timur,1.25
chevrolet,trax,2018,Bensin,82.5,Automatic,150000000,Duren Sawit, Jakarta Timur,1.25
chevrolet,trax,2018,Bensin,87.5,Automatic,150000000,Duren Sawit, Jakarta Timur,1.25
chevrolet,trax,2017,Bensin,112.5,Automatic,151000000,Kebon Jeruk, Jakarta Barat,1.25
chevrolet,trax,2018,Bensin,82.5,Automatic,151000000,Kebayoran Baru, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,82.5,Automatic,151000000,Mampang Prapatan, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,82.5,Automatic,151000000,Pancoran, Jakarta Selatan,1.25
chevrolet,trax,2017,Bensin,117.5,Automatic,152000000,Kemayoran, Jakarta Pusat,1.25
chevrolet,trax,2017,Bensin,67.5,Automatic,153000000,Kebayoran Baru, Jakarta Selatan,1.25
chevrolet,captiva,2014,Diesel,102.5,Automatic,154000000,Duren Sawit, Jakarta Timur,1.75
chevrolet,captiva,2014,Diesel,102.5,Automatic,154000000,Duren Sawit, Jakarta Timur,1.75
chevrolet,captiva,2014,Diesel,102.5,Manual,154000000,Duren Sawit, Jakarta Timur,1.75
chevrolet,trax,2016,Bensin,62.5,Automatic,155000000,Kebayoran Lama, Jakarta Selatan,1.25
chevrolet,trax,2017,Bensin,77.5,Automatic,155000000,Mampang Prapatan, Jakarta Selatan,1.25
chevrolet,trax,2017,Bensin,57.5,Automatic,155000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2017,Bensin,57.5,Automatic,158000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2017,Bensin,57.5,Automatic,158000000,Kebayoran Baru, Jakarta Selatan,1.25
chevrolet,trax,2017,Bensin,92.5,Automatic,158000000,Cakung, Jakarta Timur,1.25
chevrolet,trax,2017,Bensin,62.5,Automatic,158000000,Pancoran, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,77.5,Automatic,158000000,Duren Sawit, Jakarta Timur,1.25
chevrolet,trax,2017,Bensin,117.5,Automatic,159000000,Cilangkap, Jakarta Timur,1.25
chevrolet,trax,2017,Bensin,117.5,Automatic,159000000,Duren Sawit, Jakarta Timur,1.25
chevrolet,trax,2017,Bensin,102.5,Automatic,159000000,Pekayon, Jakarta Timur,1.25
chevrolet,trax,2017,Bensin,117.5,Automatic,159000000,Duren Sawit, Jakarta Timur,1.25
chevrolet,trax,2017,Bensin,102.5,Automatic,159000000,Kramat Jati, Jakarta Timur,1.25
chevrolet,trax,2017,Bensin,117.5,Automatic,159000000,Cilangkap, Jakarta Timur,1.25
chevrolet,trax,2017,Bensin,52.5,Automatic,159999000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2017,Bensin,62.5,Automatic,160000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,67.5,Automatic,160000000,Kebayoran Baru, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,67.5,Automatic,160000000,Kebayoran Baru, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,67.5,Automatic,160000000,Kebayoran Baru, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,72.5,Automatic,160000000,Kebayoran Baru, Jakarta Selatan,1.25
chevrolet,trax,2017,Bensin,102.5,Automatic,161000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2017,Bensin,102.5,Automatic,161000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,92.5,Automatic,162000000,Kebayoran Baru, Jakarta Selatan,1.25
chevrolet,trax,2017,Bensin,112.5,Automatic,164000000,Duren Sawit, Jakarta Timur,1.25
chevrolet,trax,2017,Bensin,62.5,Automatic,164000000,Cipayung, Jakarta Timur,1.25
chevrolet,trax,2017,Bensin,52.5,Automatic,164000000,Duren Sawit, Jakarta Timur,1.25
chevrolet,trax,2018,Bensin,92.5,Automatic,164000000,Cipayung, Jakarta Timur,1.25
chevrolet,trax,2018,Bensin,92.5,Automatic,164000000,Jatinegara, Jakarta Timur,1.25
chevrolet,trax,2017,Bensin,7.5,Automatic,165000000,Semarang Barat, Semarang Kota,1.25
chevrolet,trax,2017,Bensin,2.5,Automatic,165000000,Semarang Tengah, Semarang Kota,1.25
chevrolet,trax,2017,Bensin,82.5,Automatic,165000000,Kebayoran Baru, Jakarta Selatan,1.25
chevrolet,trax,2017,Bensin,52.5,Automatic,165000000,Pasar Minggu, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,87.5,Automatic,165000000,Kemayoran, Jakarta Pusat,1.25
chevrolet,trax,2018,Bensin,67.5,Automatic,165000000,Kebayoran Lama, Jakarta Selatan,1.25
chevrolet,trax,2016,Bensin,87.5,Automatic,166000000,Ciracas, Jakarta Timur,1.25
chevrolet,trax,2018,Bensin,82.5,Automatic,167000000,Kebayoran Lama, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,42.5,Automatic,167000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,72.5,Automatic,167000000,Cakung, Jakarta Timur,1.25
chevrolet,trax,2018,Bensin,42.5,Automatic,167000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,72.5,Automatic,167000000,Cibubur, Jakarta Timur,1.25
chevrolet,trax,2019,Bensin,62.5,Automatic,167000000,Kebayoran Baru, Jakarta Selatan,1.25
chevrolet,trax,2019,Bensin,62.5,Automatic,167000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,27.5,Automatic,168000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2019,Bensin,82.5,Automatic,168000000,Kebayoran Baru, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,77.5,Automatic,169000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,62.5,Automatic,169000009,Kramat Jati, Jakarta Timur,1.25
chevrolet,trax,2018,Bensin,62.5,Automatic,169000009,Kramat Jati, Jakarta Timur,1.25
chevrolet,trax,2019,Bensin,82.5,Automatic,170000000,Tebet, Jakarta Selatan,1.25
chevrolet,trax,2019,Bensin,82.5,Automatic,170000000,Mampang Prapatan, Jakarta Selatan,1.25
chevrolet,trax,2019,Bensin,82.5,Automatic,170000000,Pesanggrahan, Jakarta Selatan,1.25
chevrolet,trax,2017,Bensin,82.5,Automatic,171000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2019,Bensin,82.5,Automatic,172000000,Jagakarsa, Jakarta Selatan,1.25
chevrolet,trax,2019,Bensin,97.5,Automatic,172000000,Kramat Jati, Jakarta Timur,1.25
chevrolet,trax,2019,Bensin,77.5,Automatic,173000000,Kebayoran Lama, Jakarta Selatan,1.25
chevrolet,trax,2017,Bensin,27.5,Automatic,174000000,Mampang Prapatan, Jakarta Selatan,1.25
chevrolet,trax,2017,Bensin,27.5,Automatic,174000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2019,Bensin,22.5,Automatic,174000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2019,Bensin,27.5,Automatic,174000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,102.5,Automatic,175000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,52.5,Automatic,175000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,82.5,Automatic,175000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2018,Bensin,17.5,Automatic,175000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2019,Bensin,47.5,Automatic,175000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2019,Bensin,62.5,Automatic,178000000,Pasar Minggu, Jakarta Selatan,1.25
chevrolet,trax,2019,Bensin,12.5,Automatic,180000000,Kebayoran Baru, Jakarta Selatan,1.25
chevrolet,trax,2019,Bensin,37.5,Automatic,183000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2019,Bensin,37.5,Automatic,183000000,Cilandak, Jakarta Selatan,1.25
chevrolet,trax,2019,Bensin,32.5,Automatic,185000000,Kebayoran Lama, Jakarta Selatan,1.25
chevrolet,trax,2019,Bensin,37.5,Automatic,186000000,Kebayoran Baru, Jakarta Selatan,1.25
chevrolet,captiva,2016,Diesel,162.5,Automatic,190000000,Cilandak, Jakarta Selatan,1.75
